# Add/extend rows here. Columns are required.
# NOTE: Starter list only. Paste the full DSCC/DNCC moholla list into this CSV to make it complete.
ccCode,zoneCode,wardCode,areaCode,nameBn,nameEn
DSCC,DSCC-Z01,DSCC-W03,DSCC-W03-MOTIJHEEL,মতিঝিল,Motijheel
DSCC,DSCC-Z01,DSCC-W03,DSCC-W03-ARAMBAGH,আরামবাগ,Arambagh
DSCC,DSCC-Z01,DSCC-W03,DSCC-W03-KAMALAPUR,কমলাপুর,Kamalapur
DSCC,DSCC-Z02,DSCC-W06,DSCC-W06-JATRABARI,যাত্রাবাড়ী,Jatrabari
DSCC,DSCC-Z02,DSCC-W07,DSCC-W07-SHAMPUR,শ্যামপুর,Shyampur
DSCC,DSCC-Z02,DSCC-W08,DSCC-W08-DEMRA,ডেমরা,Demra
DSCC,DSCC-Z02,DSCC-W09,DSCC-W09-DHANMONDI,ধানমন্ডি,Dhanmondi
DSCC,DSCC-Z02,DSCC-W10,DSCC-W10-LALBAGH,লালবাগ,Lalbagh
DSCC,DSCC-Z02,DSCC-W11,DSCC-W11-AZIMPUR,আজিমপুর,Azimpur
DSCC,DSCC-Z02,DSCC-W12,DSCC-W12-NEW-MARKET,নিউ মার্কেট,New Market
DSCC,DSCC-Z03,DSCC-W13,DSCC-W13-SUTRAPUR,সূত্রাপুর,Sutrapur
DSCC,DSCC-Z03,DSCC-W14,DSCC-W14-WARI,ওয়ারী,Wari
DSCC,DSCC-Z03,DSCC-W15,DSCC-W15-GENDARIA,গেন্ডারিয়া,Gendaria
DSCC,DSCC-Z03,DSCC-W16,DSCC-W16-POSTAGOLA,পোস্তগোলা,Postagola
DSCC,DSCC-Z03,DSCC-W17,DSCC-W17-SABUJBAGH,সবুজবাগ,Sabujbagh
DNCC,DNCC-Z01,DNCC-W01,DNCC-W01-UTTARA,উত্তরা,Uttara
DNCC,DNCC-Z01,DNCC-W01,DNCC-W01-UTTARA-SECTOR-1,উত্তরা সেক্টর ১,Uttara Sector 1
DNCC,DNCC-Z01,DNCC-W01,DNCC-W01-UTTARA-SECTOR-10,উত্তরা সেক্টর ১০,Uttara Sector 10
DNCC,DNCC-Z01,DNCC-W17,DNCC-W17-KURIL,কুড়িল,Kuril
DNCC,DNCC-Z01,DNCC-W17,DNCC-W17-KHILKHET,খিলক্ষেত,Khilkhet
DNCC,DNCC-Z01,DNCC-W17,DNCC-W17-NIKUNJA,নিকুঞ্জ,Nikunja
DNCC,DNCC-Z02,DNCC-W03,DNCC-W03-MIRPUR-10,মিরপুর ১০,Mirpur 10
DNCC,DNCC-Z02,DNCC-W02,DNCC-W02-MIRPUR-12,মিরপুর ১২,Mirpur 12
DNCC,DNCC-Z02,DNCC-W06,DNCC-W06-PALLABI,পল্লবী,Pallabi
DNCC,DNCC-Z02,DNCC-W08,DNCC-W08-MIRPUR-1,মিরপুর ১,Mirpur 1
DNCC,DNCC-Z03,DNCC-W19,DNCC-W19-GULSHAN,গুলশান,Gulshan
DNCC,DNCC-Z03,DNCC-W19,DNCC-W19-BANANI,বনানী,Banani
DNCC,DNCC-Z03,DNCC-W18,DNCC-W18-BARIDHARA,বারিধারা,Baridhara
DNCC,DNCC-Z03,DNCC-W21,DNCC-W21-BADDA,বাড্ডা,Badda
DNCC,DNCC-Z03,DNCC-W20,DNCC-W20-MOHAKHALI,মহাখালী,Mohakhali
DNCC,DNCC-Z03,DNCC-W20,DNCC-W20-NIKETON,নিকেতন,Niketan
DNCC,DNCC-Z05,DNCC-W43,DNCC-W43-MOHAMMADPUR,মোহাম্মদপুর,Mohammadpur
DNCC,DNCC-Z05,DNCC-W46,DNCC-W46-ADABOR,আদাবর,Adabor
DNCC,DNCC-Z05,DNCC-W42,DNCC-W42-SHYAMOLI,শ্যামলী,Shyamoli
DNCC,DNCC-Z05,DNCC-W47,DNCC-W47-KALLYANPUR,কল্যাণপুর,Kallyanpur
DNCC,DNCC-Z05,DNCC-W48,DNCC-W48-SHEREBANGLA-NAGAR,শেরেবাংলা নগর,Sher-e-Bangla Nagar
DNCC,DNCC-Z05,DNCC-W50,DNCC-W50-FARMGATE,ফার্মগেট,Farmgate
DNCC,DNCC-Z05,DNCC-W51,DNCC-W51-KARWAN-BAZAR,কারওয়ান বাজার,Karwan Bazar
